# ABC Life LifePRO Export | Generated: 2024-12-31 | Records: 1000
POL_NUM|INSURER_CD|CLNT_DOB|CLNT_GENDER|SMOKER_IND|PROD_CD|POL_COMM_DT|POL_EXPIRY_DT|POL_TERM_YRS|BASIC_SA|PREM_AMT|PREM_FREQ_CD|PREM_ESCL_RT|PREM_PYMT_TERM|REINSURED|RI_RETENTION|RI_CEDED|RI_TREATY|POL_STAT_CD|VAL_FLAG
POL0000032|ABCLIFE|01/12/1967|1|N|WL01|31/12/2011|||1875000|3809.88|M|0.1||Y|1000000|875000|TRT04|IF|Y
POL0000033|ABCLIFE|20/04/1996|2|N|WL01|31/12/2022|||235000|246.15|M|0.05||N|235000|0||IF|Y
POL0000034|ABCLIFE|22/10/1964|2|N|WL01|31/12/2016|||1219000|14379.33|A|0.0||Y|1000000|219000|TRT03|IF|Y
POL0000035|ABCLIFE|23/05/1981|2|N|WL01|31/12/2020|||1537000|1980.54|M|0.05||Y|1000000|537000|TRT02|IF|Y
POL0000036|ABCLIFE|30/10/1973|1|N|EN01|31/12/2024|31/12/2034|10|2812000|31199.9|Q|0.05|10|Y|2000000|812000|TRT03|LA|N
POL0000037|ABCLIFE|10/06/1985|1|N|EN01|31/12/2020|31/12/2030|10|1785000|4517.4|M|0.05|10|N|1785000|0||IF|Y
POL0000038|ABCLIFE|17/10/1982|1|N|TL01|31/12/2024|31/12/2034|10|3928000|2612.84|M|0.1|10|Y|1000000|2928000|TRT01|IF|Y
POL0000039|ABCLIFE|10/11/1974|2|N|EN01|31/12/2018|31/12/2028|10|2696000|8363.18|M|0.0|10|Y|2000000|696000|TRT01|IF|Y
POL0000040|ABCLIFE|08/04/1971|1|Y|WL01|31/12/2015|||1232000|16728.46|A|0.1||Y|1000000|232000|TRT04|IF|Y
POL0000041|ABCLIFE|31/10/1968|2|N|EN01|31/12/2017|31/12/2032|15|645000|2426.06|M|0.1|15|N|645000|0||IF|Y
POL0000042|ABCLIFE|25/10/1988|2|Y|TL01|31/12/2022|31/12/2032|10|3579000|20290.29|A|0.0|10|Y|1000000|2579000|TRT01|IF|Y
POL0000043|ABCLIFE|30/05/1982|1|Y|WL01|31/12/2014|||1961000|3556.15|M|0.1||Y|1000000|961000|TRT04|IF|Y
POL0000044|ABCLIFE|04/01/1978|1|N|EN01|31/12/2024|31/12/2039|15|2825000|10652.74|M|0.05|15|Y|2000000|825000|TRT03|IF|Y
POL0000045|ABCLIFE|30/07/1983|1|N|TL01|31/12/2013|31/12/2038|25|3210000|1191.1|M|0.05|25|Y|1000000|2210000|TRT03|IF|Y
POL0000046|ABCLIFE|21/10/1974|1|N|TL01|31/12/2021|31/12/2031|10|2872000|4227.36|Q|0.1|10|Y|1000000|1872000|TRT03|IF|Y
POL0000047|ABCLIFE|25/06/1958|1|N|WL01|31/12/2012|||1050000|6115.21|Q|0.15||Y|1000000|50000|TRT02|IF|Y
POL0000048|ABCLIFE|20/11/1966|2|N|TL01|31/12/2009|31/12/2034|25|453000|1057.03|A|0.05|25|N|453000|0||IF|Y
POL0000049|ABCLIFE|20/07/1990|2|Y|TL01|31/12/2010|31/12/2035|25|1924000|898.68|M|0.0|25|Y|1000000|924000|TRT04|IF|Y
POL0000050|ABCLIFE|15/02/1983|2|N|EN01|31/12/2024|31/12/2034|10|1194000|3017.02|M|0.05|10|N|1194000|0||IF|Y
POL0000051|ABCLIFE|05/01/1995|2|N|TL01|31/12/2023|31/12/2048|25|4211000|11999.56|A|0.05|25|Y|1000000|3211000|TRT04|IF|Y
POL0000052|ABCLIFE|28/12/1977|1|Y|TL01|31/12/2006|31/12/2031|25|4545000|1286.66|M|0.05|25|Y|1000000|3545000|TRT03|IF|Y
POL0000053|ABCLIFE|10/11/1977|1|N|TL01|31/12/2017|31/12/2037|20|3281000|1798.38|M|0.0|20|Y|1000000|2281000|TRT04|IF|Y
POL0000054|ABCLIFE|30/08/1963|1|N|EN01|31/12/2018|31/12/2033|15|1539000|73277.51|A|0.1|15|N|1539000|0||IF|Y
POL0000055|ABCLIFE|21/08/1967|1|N|WL01|31/12/2008|||1280000|1608.84|M|0.0||Y|1000000|280000|TRT03|IF|Y
POL0000056|ABCLIFE|13/04/1976|2|Y|TL01|31/12/2015|31/12/2035|20|3545000|2331.08|M|0.1|20|Y|1000000|2545000|TRT03|IF|Y
POL0000057|ABCLIFE|28/08/1978|2|N|WL01|31/12/2006|||273000|1133.04|Q|0.05||N|273000|0||IF|Y
POL0000058|ABCLIFE|06/01/1982|1|N|EN01|31/12/2004|31/12/2029|25|171000|1910.54|Q|0.15|25|N|171000|0||IF|Y
POL0000059|ABCLIFE|16/10/1986|2|Y|TL01|31/12/2018|31/12/2038|20|4631000|10289.27|A|0.05|20|Y|1000000|3631000|TRT04|IF|Y
POL0000060|ABCLIFE|18/11/1981|2|N|WL01|31/12/2011|||1492000|16015.81|A|0.05||Y|1000000|492000|TRT02|IF|Y
POL0000061|ABCLIFE|29/03/1976|2|Y|WL01|31/12/2008|||1796000|2030.21|M|0.1||Y|1000000|796000|TRT01|IF|Y
POL0000062|ABCLIFE|24/07/1974|2|N|TL01|31/12/2009|31/12/2029|20|1019000|344.05|M|0.1|20|Y|1000000|19000|TRT04|IF|Y
POL0000063|ABCLIFE|14/04/1982|1|Y|TL01|31/12/2024|31/12/2034|10|3534000|1282.32|M|0.15|10|Y|1000000|2534000|TRT04|IF|Y
POL0000064|ABCLIFE|20/07/1983|1|N|TL01|31/12/2023|31/12/2038|15|3209000|1209.34|M|0.15|15|Y|1000000|2209000|TRT02|IF|Y
POL0000065|ABCLIFE|01/01/2002|2|N|TL01|31/12/2024|31/12/2054|30|2695000|3735.59|Q|0.1|30|Y|1000000|1695000|TRT04|IF|Y
POL0000066|ABCLIFE|21/04/1976|1|N|TL01|31/12/2016|31/12/2026|10|3981000|4608.32|Q|0.05|10|Y|1000000|2981000|TRT03|LA|N
POL0000067|ABCLIFE|06/12/1989|2|N|EN01|31/12/2022|31/12/2032|10|351000|1715.82|M|0.05|10|N|351000|0||IF|Y
POL0000068|ABCLIFE|06/02/2004|1|Y|EN01|31/12/2021|31/12/2041|20|243000|921.02|M|0.05|20|N|243000|0||IF|Y
POL0000069|ABCLIFE|11/04/1986|1|N|TL01|31/12/2014|31/12/2044|30|-2031000|340.19|M|0.0|30|Y|1000000|1031000|TRT01|PU|N
POL0000070|ABCLIFE|28/03/1991|1|N|TL01|31/12/2024|31/12/2044|20|4222000|1384.44|M|0.05|20|Y|1000000|3222000|TRT02|IF|Y
POL0000071|ABCLIFE|29/06/1993|2|Y|TL01|31/12/2019|31/12/2034|15|3587000|0.0|M|0.0|15|Y|1000000|2587000|TRT01|PU|N
POL0000072|ABCLIFE|22/02/1972|1|N|TL01|31/12/2018|31/12/2028|10|2992000|6069.12|A|0.1|10|Y|1000000|1992000|TRT03|IF|Y
POL0000073|ABCLIFE|31/08/1980|2|N|WL01|31/12/2015|||936000|1932.04|M|0.05||N|936000|0||IF|Y
POL0000074|ABCLIFE|25/02/1970|2|N|WL01|31/12/2012|||669000|582.45|M|0.05||N|669000|0||IF|Y
POL0000075|ABCLIFE|19/09/1965|2|N|WL01|31/12/2015|||1786000|1769.69|M|0.0||Y|1000000|786000|TRT04|IF|Y
POL0000076|ABCLIFE|26/03/1964|1|Y|EN01|31/12/2017|31/12/2037|20|1775000|8419.28|M|0.1|20|N|1775000|0||IF|Y
POL0000077|ABCLIFE|04/10/1982|1|N|TL01|31/12/2024|31/12/2039|15|4198000|1950.07|M|0.05|15|Y|1000000|3198000|TRT03|PU|N
POL0000078|ABCLIFE|05/09/1982|2|N|WL01|31/12/2023|||1465000|2609.69|M|0.15||Y|1000000|465000|TRT04|IF|Y
POL0000079|ABCLIFE|10/02/1977|1|N|WL01|31/12/2008|||1785000|3010.51|M|0.0||Y|1000000|785000|TRT01|LA|N
POL0000080|ABCLIFE|05/06/1987|2|N|TL01|31/12/2013|31/12/2028|15|3694000|15789.32|A|0.05|15|Y|1000000|2694000|TRT02|IF|Y
POL0000081|ABCLIFE|10/06/1983|2|Y|WL01|31/12/2016|||1738000|4995.85|Q|0.05||Y|1000000|738000|TRT01|IF|Y
POL0000082|ABCLIFE|26/02/1967|2|N|TL01|31/12/2005|31/12/2035|30|1664000|760.72|M|0.05|30|Y|1000000|664000|TRT03|IF|Y
POL0000083|ABCLIFE|23/06/1975|1|N|TL01|31/12/2012|31/12/2032|20|898000|302.09|M|0.15|20|N|898000|0||IF|Y
POL0000084|ABCLIFE|11/09/1969|2|N|WL01|31/12/2014|||412000|584.57|M|0.05||N|412000|0||IF|Y
POL0000085|ABCLIFE|22/08/2004|2|N|EN01|31/12/2024|31/12/2034|10|920000|12949.3|Q|0.15|10|N|920000|0||LA|N
POL0000086|ABCLIFE|19/10/1969|1|Y|EN01|31/12/2018|31/12/2033|15|1681000|7756.96|M|0.1|15|N|1681000|0||IF|Y
POL0000087|ABCLIFE|07/02/1985|1|N|TL01|31/12/2015|31/12/2035|20|1551000|572.47|M|0.1|20|Y|1000000|551000|TRT03|IF|Y
POL0000088|ABCLIFE|04/11/1984|1|N|EN01|31/12/2010|31/12/2025|15|2547000|9000.89|M|0.05|15|Y|2000000|547000|TRT02|IF|Y
POL0000089|ABCLIFE|08/09/1965|2|N|EN01|31/12/2007|31/12/2027|20|772000|3744.24|M|0.1|20|N|772000|0||IF|Y
POL0000090|ABCLIFE|30/07/1988|1|N|TL01|31/12/2023|31/12/2038|15|746000|479.52|M|0.05|15|N|746000|0||LA|N
POL0000091|ABCLIFE|20/09/1960|1|N|WL01|31/12/2006|||282000|4180.08|A|0.1||N|282000|0||IF|Y
POL0000092|ABCLIFE|01/05/1967|1|N|WL01|31/12/2007|||1496000|1532.55|M|0.15||Y|1000000|496000|TRT04|IF|Y
POL0000093|ABCLIFE|30/10/1982|2|N|WL01|31/12/2023|||463000|7671.84|A|0.1||N|463000|0||IF|Y
POL0000094|ABCLIFE|16/09/1978|1|N|TL01|31/12/2016|31/12/2031|15|846000|307.21|M|0.15|15|N|846000|0||IF|Y
POL0000095|ABCLIFE|08/03/1976|2|N|TL01|31/12/2016|31/12/2041|25|1779000|899.66|M|0.1|25|Y|1000000|779000|TRT04|IF|Y
POL0000096|ABCLIFE|23/05/1974|2|N|EN01|31/12/2008|31/12/2033|25|942000|38612.64|A|0.1|25|N|942000|0||IF|Y
POL0000097|ABCLIFE|31/07/1969|1|N|WL01|31/12/2014|||1312000|1762.71|M|0.05||Y|1000000|312000|TRT03|IF|Y
POL0000098|ABCLIFE|24/04/1973|2|N|WL01|31/12/2013|||687000|1240.74|M|0.1||N|687000|0||IF|Y
POL0000099|ABCLIFE|02/04/1968|1|Y|TL01|31/12/2010|31/12/2025|15|4561000|1996.38|M|0.1|15|Y|1000000|3561000|TRT03|LA|N
POL0000100|ABCLIFE|03/03/1959|2|N|TL01|31/12/2006|31/12/2026|20|3459000|1268.41|M|0.1|20|Y|1000000|2459000|TRT02|IF|Y
POL0000101|ABCLIFE|31/10/1973|2|N|EN01|31/12/2019|31/12/2039|20|1915000|5956.63|M|0.15|20|N|1915000|0||PU|N
POL0000102|ABCLIFE|21/02/1987|2|N|EN01|31/12/2024|31/12/2039|15|1468000|4551.63|M|0.1|15|N|1468000|0||IF|Y
POL0000103|ABCLIFE|10/07/1987|1|N|WL01|31/12/2020|||1728000|1456.22|M|0.05||Y|1000000|728000|TRT01|IF|Y
POL0000104|ABCLIFE|08/09/2000|1|N|WL01|31/12/2023|||426000|580.14|M|0.1||N|426000|0||PU|N
POL0000105|ABCLIFE|23/11/1977|1|N|TL01|31/12/2015|31/12/2025|10|4436000|987.41|M|0.1|10|Y|1000000|3436000|TRT03|IF|Y
POL0000106|ABCLIFE|02/05/1993|2|N|WL01|31/12/2024|||1999000|1903.71|M|0.1||Y|1000000|999000|TRT03|LA|N
POL0000107|ABCLIFE|25/08/1969|1|Y|TL01|31/12/2011|31/12/2036|25|3959000|27425.52|A|0.05|25|Y|1000000|2959000|TRT02|IF|Y
POL0000108|ABCLIFE|25/12/1986|1|N|EN01|31/12/2024|31/12/2044|20|333000|0.0|M|0.0|20|N|333000|0||IF|Y
POL0000109|ABCLIFE|01/02/1975|2|Y|TL01|31/12/2009|31/12/2034|25|923000|551.09|M|0.1|25|N|923000|0||IF|Y
POL0000110|ABCLIFE|27/06/1983|1|N|TL01|31/12/2020|31/12/2050|30|3786000|2051.25|M|0.05|30|Y|1000000|2786000|TRT03|IF|Y
POL0000111|ABCLIFE|03/06/1976|1|Y|WL01|31/12/2009|||392000|6263.22|A|0.15||N|392000|0||IF|Y
POL0000112|ABCLIFE|02/06/1968|1|N|TL01|31/12/2018|31/12/2033|15|4377000|1212.72|M|0.1|15|Y|1000000|3377000|TRT01|IF|Y
POL0000113|ABCLIFE|14/03/1971|2|N|WL01|31/12/2004|||146000|210.4|M|0.05||N|146000|0||IF|Y
POL0000114|ABCLIFE|17/07/1966|2|N|EN01|31/12/2007|31/12/2027|20|-1590000|6217.28|M|0.1|20|N|1590000|0||IF|Y
POL0000115|ABCLIFE|14/09/1982|2|Y|EN01|31/12/2018|31/12/2028|10|1436000|6948.6|M|0.0|10|N|1436000|0||IF|Y
POL0000116|ABCLIFE|24/07/1987|2|N|TL01|31/12/2015|31/12/2035|20|2171000|508.04|M|0.1|20|Y|1000000|1171000|TRT01|IF|Y
POL0000117|ABCLIFE|13/09/1970|1|N|TL01|31/12/2015|31/12/2035|20|4453000|11573.29|A|0.0|20|Y|1000000|3453000|TRT01|IF|Y
POL0000118|ABCLIFE|19/11/1961|2|N|TL01|31/12/2010|31/12/2035|25|4984000|1830.62|M|0.05|25|Y|1000000|3984000|TRT03|PU|N
POL0000119|ABCLIFE|24/12/1978|1|N|EN01|31/12/2005|31/12/2025|20|2914000|10180.97|M|0.05|20|Y|2000000|914000|TRT02|IF|Y
POL0000120|ABCLIFE|22/09/1983|1|N|TL01|31/12/2011|31/12/2031|20|2102000|1015.77|M|0.15|20|Y|1000000|1102000|TRT02|PU|N
POL0000121|ABCLIFE|30/06/1987|1|N|TL01|31/12/2016|31/12/2031|15|2817000|956.46|M|0.05|15|Y|1000000|1817000|TRT03|IF|Y
POL0000122|ABCLIFE|16/09/1978|1|N|WL01|31/12/2011|||1523000|2843.17|M|0.15||Y|1000000|523000|TRT04|IF|Y
POL0000123|ABCLIFE|04/02/1985|1|N|EN01|31/12/2016|31/12/2026|10|64000|268.87|M|0.05|10|N|64000|0||IF|Y
POL0000124|ABCLIFE|21/06/1969|1|N|EN01|31/12/2006|31/12/2026|20|1026000|42262.8|A|0.05|20|N|1026000|0||IF|Y
POL0000125|ABCLIFE|06/10/1973|1|N|WL01|31/12/2018|||1929000|24718.47|A|0.05||Y|1000000|929000|TRT04|PU|N
POL0000126|ABCLIFE|13/10/1972|2|N|TL01|31/12/2007|31/12/2032|25|3075000|1081.35|M|0.05|25|Y|1000000|2075000|TRT04|IF|Y
POL0000127|ABCLIFE|17/05/1965|1|N|EN01|31/12/2018|31/12/2028|10|1585000|6697.13|M|0.0|10|N|1585000|0||IF|Y
POL0000128|ABCLIFE|25/05/1985|1|N|WL01|31/12/2024|||468000|500.26|M|0.05||N|468000|0||IF|Y
POL0000129|ABCLIFE|07/04/1975|2|N|TL01|31/12/2016|31/12/2026|10|3293000|19117.2|A|0.05|10|Y|1000000|2293000|TRT01|IF|Y
POL0000130|ABCLIFE|17/06/1986|2|Y|EN01|31/12/2016|31/12/2036|20|940000|29472.24|A|0.15|20|N|940000|0||IF|Y
POL0000131|ABCLIFE|22/12/1985|2|Y|TL01|31/12/2019|31/12/2029|10|2880000|1120.82|M|0.0|10|Y|1000000|1880000|TRT04|LA|N
POL0000132|ABCLIFE|14/05/1956|1|N|TL01|31/12/2004|31/12/2029|25|3568000|28028.01|A|0.1|25|Y|1000000|2568000|TRT04|PU|N
POL0000133|ABCLIFE|13/05/1974|1|N|WL01|31/12/2013|||1945000|8384.93|Q|0.05||Y|1000000|945000|TRT01|IF|Y
POL0000134|ABCLIFE|10/10/1992|1|N|TL01|31/12/2021|31/12/2036|15|4660000|858.63|M|0.0|15|Y|1000000|3660000|TRT04|IF|Y
POL0000135|ABCLIFE|27/11/1970|2|N|WL01|31/12/2018|||146000|133.22|M|0.0||N|146000|0||IF|Y
POL0000136|ABCLIFE|17/11/1982|2|N|WL01|31/12/2016|||1255000|30411.97|A|0.05||Y|1000000|255000|TRT01|IF|Y
POL0000137|ABCLIFE|01/08/1983|2|N|TL01|31/12/2019|31/12/2029|10|996000|491.29|M|0.1|10|N|996000|0||IF|Y
POL0000138|ABCLIFE|07/11/1978|1|N|WL01|31/12/2007|||259000|384.04|M|0.05||N|259000|0||IF|Y
POL0000139|ABCLIFE|05/03/1972|1|N|TL01|31/12/2012|31/12/2032|20|3005000|1458.84|M|0.0|20|Y|1000000|2005000|TRT02|LA|N
POL0000140|ABCLIFE|13/04/1968|1|N|TL01|31/12/2004|31/12/2034|30|3931000|1909.03|M|0.1|30|Y|1000000|2931000|TRT02|IF|Y
POL0000141|ABCLIFE|02/07/1974|2|N|WL01|31/12/2016|||1634000|2866.12|M|0.05||Y|1000000|634000|TRT03|IF|Y
POL0000142|ABCLIFE|20/07/2000|1|N|TL01|31/12/2018|31/12/2033|15|1436000|925.77|M|0.0|15|Y|1000000|436000|TRT04|IF|Y
POL0000143|ABCLIFE|28/09/1968|2|N|WL01|31/12/2012|||392000|561.09|M|0.0||N|392000|0||IF|Y
POL0000144|ABCLIFE|19/09/1975|2|N|TL01|31/12/2009|31/12/2029|20|3933000|6775.02|Q|0.05|20|Y|1000000|2933000|TRT02|IF|Y
POL0000145|ABCLIFE|24/10/1972|1|N|TL01|31/12/2014|31/12/2039|25|3784000|1146.81|M|0.0|25|Y|1000000|2784000|TRT01|IF|Y
POL0000146|ABCLIFE|24/05/1985|1|N|TL01|31/12/2015|31/12/2030|15|3251000|25985.17|A|0.1|15|Y|1000000|2251000|TRT02|PU|N
POL0000147|ABCLIFE|09/08/1974|1|Y|WL01|31/12/2010|||981000|1317.03|M|0.05||N|981000|0||IF|Y
POL0000148|ABCLIFE|23/11/1987|1|N|TL01|31/12/2009|31/12/2034|25|4377000|17009.41|A|0.05|25|Y|1000000|3377000|TRT04|IF|Y
POL0000149|ABCLIFE|10/08/1980|1|N|EN01|31/12/2022|31/12/2032|10|626000|3050.64|M|0.05|10|N|626000|0||IF|Y
POL0000150|ABCLIFE|26/12/1983|1|N|TL01|31/12/2019|31/12/2029|10|4575000|2312.76|M|0.1|10|Y|1000000|3575000|TRT02|IF|Y
POL0000151|ABCLIFE||1|N|TL01|31/12/2011|31/12/2041|30|3901000|4164.23|Q|0.1|30|Y|1000000|2901000|TRT03|IF|Y
POL0000152|ABCLIFE|14/07/1982|1|N|EN01|31/12/2018|31/12/2038|20|313000|1367.09|M|0.05|20|N|313000|0||IF|Y
POL0000153|ABCLIFE|24/05/1987|1|N|TL01|31/12/2022|31/12/2052|30|3483000|15572.7|A|0.05|30|Y|1000000|2483000|TRT04|PU|N
POL0000154|ABCLIFE|04/03/1986|1|N|WL01|31/12/2010|||411000|491.19|M|0.1||N|411000|0||PU|N
POL0000155|ABCLIFE|04/07/1970|1|N|TL01|31/12/2008|31/12/2033|25|4725000|1318.33|M|0.1|25|Y|1000000|3725000|TRT01|IF|Y
POL0000156|ABCLIFE|02/02/1974|2|N|WL01|31/12/2012|||1709000|22926.09|A|0.0||Y|1000000|709000|TRT01|PU|N
POL0000157|ABCLIFE|20/10/1968|2|Y|WL01|31/12/2008|||1880000|7810.62|Q|0.1||Y|1000000|880000|TRT01|IF|Y
POL0000158|ABCLIFE|10/12/1991|1|Y|WL01|31/12/2015|||1031000|1610.05|M|0.05||Y|1000000|31000|TRT04|IF|Y
POL0000159|ABCLIFE|21/12/1971|2|N|TL01|31/12/2006|31/12/2031|25|3997000|25305.08|A|0.15|25|Y|1000000|2997000|TRT01|LA|N
POL0000160|ABCLIFE|16/04/1975|1|N|WL01|31/12/2005|||854000|12178.7|A|0.1||N|854000|0||IF|Y
POL0000161|ABCLIFE|13/09/1995|1|N|EN01|31/12/2018|31/12/2028|10|1993000|61251.92|A|0.05|10|N|1993000|0||IF|Y
POL0000162|ABCLIFE|22/07/1974|1|N|TL01|31/12/2007|31/12/2032|25|251000|160.45|M|0.0|25|N|251000|0||IF|Y
POL0000163|ABCLIFE|18/04/1982|2|N|EN01|31/12/2007|31/12/2027|20|2349000|7227.56|M|0.0|20|Y|2000000|349000|TRT03|LA|N
POL0000164|ABCLIFE|02/04/1958|2|N|WL01|31/12/2012|||927000|1006.03|M|0.1||N|927000|0||IF|Y
POL0000165|ABCLIFE|27/06/1977|1|N|WL01|31/12/2015|||1848000|1930.7|M|0.05||Y|1000000|848000|TRT02|IF|Y
POL0000166|ABCLIFE|12/10/1989|1|Y|EN01|31/12/2018|31/12/2028|10|1762000|21552.5|Q|0.1|10|N|1762000|0||IF|Y
POL0000167|ABCLIFE|22/12/1986|1|N|WL01|31/12/2011|||381000|1324.98|Q|0.0||N|381000|0||IF|Y
POL0000168|ABCLIFE|29/12/1989|2|N|TL01|31/12/2021|31/12/2051|30|1608000|821.88|M|0.15|30|Y|1000000|608000|TRT04|IF|Y
POL0000169|ABCLIFE|25/01/1960|2|N|TL01|31/12/2017|31/12/2027|10|762000|384.08|M|0.1|10|N|762000|0||IF|Y
POL0000170|ABCLIFE|19/06/1977|1|N|TL01|31/12/2005|31/12/2030|25|3740000|2174.97|M|0.05|25|Y|1000000|2740000|TRT03|IF|Y
POL0000171|ABCLIFE|21/08/1981|2|N|WL01|31/12/2020|||1224000|3389.79|Q|0.05||Y|1000000|224000|TRT02|IF|Y
POL0000172|ABCLIFE|05/03/1986|1|N|TL01|31/12/2008|31/12/2028|20|1163000|194.16|M|0.05|20|Y|1000000|163000|TRT01|IF|Y
POL0000173|ABCLIFE|23/09/1989|2|Y|TL01|31/12/2021|31/12/2051|30|3171000|1545.7|M|0.05|30|Y|1000000|2171000|TRT01|IF|Y
POL0000174|ABCLIFE|14/08/1973|1|N|EN01|31/12/2019|31/12/2034|15|711000|2222.64|M|0.05|15|N|711000|0||IF|Y
POL0000175|ABCLIFE|25/06/1986|1|N|EN01|31/12/2004|31/12/2029|25|2802000|10707.43|M|0.1|25|Y|2000000|802000|TRT01|IF|Y
